Name,Creativity,Goals_scored
Adam Smith,345.5,1
Adrian,0,0
Aguero,570.8,21
Ake,115.1,2
Albrighton,718.3,2
Alderweireld,67.8,0
Alexander-Arnold,399.2,1
Alisson,0,0
Alli,878.5,9
Alonso,549.6,7
Amartey,10.3,0
Ampadu,0,0
Andone,0,0
Antonio,256.3,3
Armstrong,0,0
Arnautovic,543,11
Arter,76.1,1
Atsu,340.6,2
Aubameyang,207.1,10
Aurier,236.5,2
Austin,89.4,7
Ayite,0,0
Azpilicueta,535.7,2
Bacuna,0,0
Bailly,28.4,1
Baines,373.5,2
Bakayoko,279.5,2
Balbuena,0,0
Baldock,0.8,0
Balogun,0,0
Bamba,0,0
Baningime,3.8,0
Bardsley,117.5,0
Barkley,34.7,0
Barnes,274.8,9
Batth,0,0
Bednarek,1.9,1
Begovic,20,0
Bellerin,561,2
Benalouane,1.3,0
Bennett,0,0
Bennett,0,0
Benteke,406.7,3
Bernardo,0,0
Bernardo Silva,508.7,6
Bertrand,589.1,0
Bettinelli,0,0
Billing,58.6,0
Bissouma,0,0
Blind,93,0
Bogle,0,0
Bolasie,109,1
Boly,0,0
Bonatini,0,0
Bong,154.6,0
Boruc,0,0
Boufal,351.6,2
Brady,477.9,1
Bravo,0,0
Britos,42.7,1
Brooks,0,0
Bruno,174.1,0
Button,0,0
Byram,37.6,0
Caballero,0,0
Cahill,55.6,0
Cairney,0,0
Calvert-Lewin,322.6,4
Capoue,165.9,1
Carrillo,64.2,0
Carroll,110.2,3
Cathcart,2,0
Cavaleiro,0,0
Cech,0,0
Chalobah,26.5,0
Chamberlain,625.1,3
Chambers,40,0
Chicharito,312.4,8
Chilwell,332.1,0
Choudhury,20.2,0
Christensen,66.5,0
Christie,0,0
Clark,50.8,2
Cleverley,464.8,1
Clyne,23.8,0
Coady,0,0
Coleman,113.7,0
Connolly,0,0
Cork,332.8,2
Costa,0,0
Courtois,0,0
Cresswell,562.7,1
Cunningham,0,0
Cedric,455.6,0
Dahlberg,0,0
Dalot,0,0
Damour,0,0
Daniels,479.7,1
Danilo,158.1,3
Dann,62.3,1
Darlow,0,0
Darmian,25.3,0
David Luiz,22.3,1
David Silva,1118.5,9
Davies,698.8,2
Davies,207.2,2
Davis,350.8,3
De Bruyne,1744.2,8
De Gea,10,0
Deeney,349.4,5
Defoe,144.9,4
Defour,310.8,1
Delph,263.7,1
Dembele,303.1,0
Depoitre,191.4,6
Deulofeu,141.3,1
Diabate,130.8,0
Diakhaby,0,0
Diame,214.2,2
Diaz,5.6,0
Dier,293.4,0
Diop,0,0
Doherty,0,0
Doucoure,595.8,7
Douglas,0,0
Drinkwater,88.1,1
Dubravka,0,0
Duffy,98.9,0
Dummett,97.8,0
Dunk,147.8,1
Durm,0,0
Ecuele Manga,0,0
Ederson,10,0
Elliot,0,0
Elneny,194.4,0
Elyounoussi,0,0
Emerson,28.7,0
Enobakhare,0,0
Eriksen,1487,11
Etheridge,0,0
Evans,104.2,2
Fabianski,10,0
Fabinho,0,0
Felipe Anderson,0,0
Fellaini,88.2,4
Fernandes,97.3,0
Fernandinho,511.9,5
Firmino,834.5,15
Foden,32.1,0
Fonte,0,0
Forster,0,0
Foster,20,0
Francis,418.4,0
Fraser,646.6,5
Fred,0,0
Fredericks,0,0
Fuchs,282.2,0
Fabregas,1349.3,2
Gabbiadini,133.9,5
Gayle,333.6,6
Gibbs-White,0,0
Giroud,311.1,7
Gomes,0.2,0
Gomez,285.6,0
Gosling,262.2,2
Gray,412.8,3
Gray,254,5
Gross,1311,7
Guaita,0,0
Gudmundsson,1052,2
Guendouzi,0,0
Gueye,303.6,2
Gunn,0,0
Gunnarsson,0,0
Gundogan,406.4,4
Hadergjonaj,381.8,0
Halford,0,0
Hamer,0,0
Hayden,164.7,1
Hazard,1127.3,12
Heaton,0,0
Hemed,66.1,2
Henderson,448.8,1
Hendrick,408.2,2
Hennessey,10,0
Herrera,229.4,0
Hoedt,130.9,0
Hogg,172.8,0
Hoilett,0,0
Holding,39.3,0
Holebas,632.8,0
Holgate,93.9,0
Hudson-Odoi,1.7,0
Hughes,267,2
Hugill,0.4,0
Hyndman,12.5,0
Hojbjerg,258.4,0
Ibe,602.7,2
Iborra,131.6,3
Iheanacho,185.6,3
Ince,331.3,2
Ings,42,1
Iwobi,592.9,3
Izquierdo,311.3,5
Jach,0,0
Jagielka,24.1,0
Jakupovic,0,0
James,52.7,0
Janmaat,230.6,3
Jazz Richards,0,0
Jesus,360.3,13
Jimenez,0,0
Johansen,0,0
Jones,36.6,0
Jorginho,0,0
Joselu,254.8,4
Jota,0,0
Kabasele,52,2
Kaboul,0.9,0
Kachunga,152.1,1
Kamara,0,0
Kane,502.1,29
Kante,638.2,1
Karius,0,0
Kayal,137,0
Keane,58.4,0
Kebano,0,0
Keita,0,0
Kelly,25.7,0
Kenedy,224.1,2
Kenny,184.5,0
Ki Sung-yueng,338.1,2
Kiko Femenia,302.8,1
King,556.7,8
Klaassen,33.7,0
Klavan,65,1
Knockaert,557.2,3
Kolasinac,334.9,2
Kompany,76.5,1
Kongolo,52.2,0
Koscielny,123.8,2
Kouyate,262.4,2
Lacazette,566,14
Lallana,113.4,0
Lamela,283.1,2
Lanzini,624.9,5
Laporte,52.8,0
Lascelles,77.2,3
Le Marchand,0,0
Lejeune,92.3,0
Lemina,170.6,1
Lennon,203.2,0
Leno,0,0
Lewis Cook,423.3,0
Lichtsteiner,0,0
Lindelof,37.7,0
Lingard,519.1,8
Llorente,66.7,1
Lloris,0.1,0
Locadia,24.6,1
Loftus-Cheek,377,2
Long,301.9,2
Long,64.8,1
Lookman,20.5,0
Lovren,104.5,2
Lowton,264.9,0
Lucas Moura,83.2,0
Lukaku,572.4,16
Lossl,30,0
Lowe,125.5,0
Maddison,0,0
Madine,0,0
Maguire,254.3,2
Mahrez,924,12
Maitland-Niles,141.3,0
Malone,146.8,0
Manquillo,164.8,0
Mane,739.1,10
March,320.9,1
Mariappa,59.4,0
Martial,509.3,9
Martina,238.8,0
Masina,0,0
Masuaku,295.1,0
Mata,849.9,3
Matic,427.9,1
Matip,96.1,1
Mavropanos,1.3,0
Mbemba,67.1,0
McArthur,333,5
McCarthy,0,0
McCarthy,19.3,0
McDonald,0,0
McQueen,34.2,0
McTominay,53.6,0
Mee,74.5,0
Mendez-Laing,0,0
Mendy,139.3,0
Merino,236.7,1
Mignolet,0,0
Milivojevic,379,10
Milner,615.5,0
Mings,14.8,0
Mir,0,0
Mirallas,20.2,0
Miranda,0,0
Mkhitaryan,727.8,3
Monreal,238.7,5
Mooy,848.8,4
Morata,478.9,11
Moreno,250.1,0
Morgan,62,0
Morrison,0,0
Moses,358.1,3
Mounie,270.7,7
Mousset,69.5,2
Murphy,0,0
Murphy,159.7,1
Murray,271.8,12
Mustafi,129.9,3
Navarro,0,0
Ndidi,230.7,0
Nelson,29.7,0
Neves,0,0
Niasse,159.2,8
Noble,337.8,4
Norris,0,0
Obiang,132.1,2
Odoi,0,0
Ogbonna,81.4,1
Okaka,92,1
Okazaki,228.1,6
Oriol Romeu,338.7,1
Otamendi,224.6,4
Oxford,0,0
Paterson,0,0
Patricio,0,0
Pedro,410,4
Peltier,0,0
Pereira,0,0
Pereyra,370.6,5
Pickford,30.1,0
Pilkington,0,0
Pogba,663.5,6
Pope,40,0
Pritchard,300.3,1
Prodl,25.9,0
Propper,297.1,0
Pugh,195.5,0
Puncheon,93.9,0
Perez,539,8
Quaner,255.7,0
Ralls,0,0
Ramsey,478.3,7
Rashford,412.1,7
Ream,0,0
Redmond,630.9,1
Reid,48.8,0
Reid,0,0
Rice,35.7,0
Richarlison,384.7,5
Riedewald,21.5,0
Ritchie,844.4,3
Robertson,414.5,1
Rojo,26,0
Romero,0,0
Rose,181.6,0
Ruddy,0,0
Ryan,0,0
Rudiger,83,2
Sabiri,40.6,0
Sakho,30.7,1
Sako,103.1,3
Salah,942.5,32
Sandro,28.3,0
Sane,891.3,10
Saiss,0,0
Schelotto,99.2,0
Schindler,107.1,0
Schlupp,189.7,0
Schmeichel,11.1,0
Schneiderlin,159.2,0
Sema,0,0
Seri,0,0
Sessegnon,0,0
Shaqiri,1151.6,8
Shaw,127,0
Shelvey,639.9,1
Sigurdsson,614.9,4
Silva,120,0
Simpson,121.2,0
Simpson,0,0
Sims,43.5,0
Sinclair,11,0
Sissoko,384.7,1
Smalling,35.3,4
Smith,251.6,0
Smithies,0,0
Sobhi,237.9,2
Sokratis,0,0
Solanke,199.4,1
Son,588.2,12
Souare,1.1,0
Speroni,0,0
Stanislas,377.2,5
Steele,0,0
Stekelenburg,0,0
Stephens,272.5,0
Stephens,68.3,2
Sterling,838.2,18
Steve Cook,65.6,2
Stones,26.3,0
Sturridge,205.3,2
Surman,261.1,2
Suttner,105.6,0
Sanchez,1155.2,9
Sanchez,74.8,0
Sorloth,74,0
Tarkowski,98.4,0
Taylor,86.8,0
Tomkins,22.4,3
Torreira,0,0
Tosun,226.4,5
Townsend,1012.1,2
Trippier,617.5,0
Valencia,438.5,3
Vardy,439.9,20
Vertonghen,205.7,0
Vestergaard,0,0
Vinagre,0,0
Vlasic,159.1,0
Vokes,128,4
Vorm,0,0
Walcott,234.9,3
Walker,511.4,0
Walker-Peters,48.3,0
Walters,0.7,0
Wan-Bissaka,60,0
Wanyama,96.8,1
Ward,0,0
Ward,0,0
Ward,163.5,0
Ward,270.9,1
Ward-Prowse,613.9,3
Welbeck,212.8,5
Wells,3.5,0
Westwood,134.8,0
Wickham,0,0
Wijnaldum,356.2,1
Williams,39,1
Williams,83,0
Willian,891.5,6
Wilshere,281.8,1
Wilson,288.4,8
Winks,172.2,0
Wood,203.5,10
Xhaka,822.8,1
Yarmolenko,0,0
Yedlin,340.7,0
Yoshida,67,2
Young,502.3,2
Zabaleta,293.7,0
Zaha,716.9,9
Zanka,123.6,0
Zappacosta,245.3,1
Zeegelaar,142.1,0
Zinchenko,145.9,0
Zohore,0,0
van Aanholt,303.8,5
van Dijk,122.6,0
van La Parra,261.6,3
Ozil,1287.5,4